sha256_hash,malware_family,stratum_tier
2764dbf5494c93a6174c08480fb2fae9e606b8fbce0274684cd253aec9a95d2a,ransomware,known
4ccec0481d687e9f9016e6f88c3b60879b3c0aabdf9cab9378b1988260c6b720,ransomware,known
600c2614843fd9576186e2561251f35b535c9dc0d705870b8c883a35160ec720,ransomware,known
b39ff5ce3b3a5689cbda0bf4bbcd302aa720db684953cdcaf088c4616904f81b,ransomware,known
00ac39788fc52c779f54db32e708b3374313b5dc2ccbacc42b19ff31b7001507,ransomware,known
c0fde5d6fb7f60ac6cd10ca076a961902b57a35e064d5587822cc3bb3a6cd576,ransomware,known
26dbe8526f3f102bbaf64f24abacd545240917d21a2b9970364c98c07dc2ec9a,ransomware,known
cad1cba0b6369eb33f0c2716be4a7f5a5c5642689953c1a28f40719c7a032bec,ransomware,known
87399dd791c90778062c475ef80a0675b5ef3e3cd00ae5287f5728c101ffc312,ransomware,known
99b91fb92a041d2db15457008243d1d236aca77010701a9d870739f727dcfaa5,ransomware,known
fc8b0751bfcdd58fd6a0906c7f295cdd5da5b36e226f07f8320aae7a5645bb9b,ransomware,known
61fbbd9349af183598984b0a9172b77137bbb540054590a73d3f4b9d7bfa52a9,ransomware,known
04f80614b4d1f9ac33e107ae59c0272daefdfd2ba3fc9f59da097d5c4f9b5762,ransomware,known
784ebe81fb8abcb912fdfa52ed4cec7983e565e75eceb2c33e2edd38f04dfa52,ransomware,known
0d96e47668ce1f87f980afeec27f5959062bafab2494eb0571023df0c003abf4,ransomware,known
0242063445a185ca87aba6de8a81e05678ec980176452796fb8f8d4eb35be9a7,ransomware,known
06c1038d95b2c6030dcddc5a0e9db98b191f749fab8d0e6fd6f9d7a4080878b4,ransomware,known
e4885362ddce329ee4b3282ee7b71ebbb8a8f81157c88f3430089bfc0b43dfdc,ransomware,known
2a958f0af4f7dade6b8fc4348edf89094ea141a5a07e81e495b462ab170fcdcf,ransomware,known
275fef63cd60b1f2bb43118583b2a36482146e873a419832db49ad99af607a72,ransomware,known
98615a0d5e9fc9fbe450f660f312604a0e8d0152b6196c8a22df7efb79dc53f2,ransomware,known
d4166a2d3144fb4cd1c8ecf104f778d9a18c76b74e0d0d685bc357a677390fe8,ransomware,known
c342fe5acd20912022ebe624b253685a9c0ef21b8bb7ea4b847ff095727a7407,ransomware,known
69b23116ee95bb0e8c509afe1610d21ec3ead5a5b51eb01de1a79788bcf5e767,ransomware,known
d25c421756dcf05d91c7ecdee81f3ba77adab79037b4f8a9d74e722931f57ff7,ransomware,known
7b07b788f1a7d8633bf83e8ce472014425ce38300c99a389c5845f3fd252dd47,ransomware,known
85958986d6ff1c004c1029a51689cec4b58a420371fe2cf0fe4868a5d1e7004b,ransomware,known
9d1f9abf857fe345bdd7fe94e34c637743e333d56e5f8e4d62eb7f37439fbab6,ransomware,known
2a60f55456a4ab82e7f0269aadc702e29f6ec06f924f40d5cad8383986a73a72,ransomware,known
758e401c7584c61d7d0ccb89f8f53a4ae1a7578cea42d6da84bfffd4ac9c962f,ransomware,known
b928219a612e15a69b705635f38453424efd3e36e4ea26dc65a1b00abdb534f6,ransomware,known
929279808ee53fe31a807fdabdef0a07dbb95b45b19d7839114c6579b80dbf60,ransomware,known
488eff781e84117798f8b7969523bacda8c0d720a8cdec5edcfe37b8ee6d1cc7,ransomware,known
1027339e7bcd5a8542aab104e1f1288cd67d66a90b5fb201bf6a34a7103af43f,ransomware,known
cc2fbf3cbc442f50fd59b234f6f597af109476953736758edb743310789bc52b,ransomware,known
db4b6598c1b0fb79154a6aae5db7a19dcee633df6c396d6567673ff12b18dba5,ransomware,known
3037ff9b674e14ec510217cd7324def42b3f25e0e3f5a45f702dd5c360a518b3,ransomware,known
06b53c3e17c55d00ef3b01193695816c749cd9fd2c19e2d7a3330b55fb511370,ransomware,known
31ed4cb85eed6d24372657faea51f507eec16a746dad7bc6b63a797d559c571b,ransomware,known
0140748cb5f0dd421e7ab0e4c07397102bc9a57bc1e55ff62d6f09b3e5c6e1cd,ransomware,known
98d2f7da72bff1de5cea3d90845821024df6bf87a3162cab8897181644f39438,ransomware,known
cbe2c109852ad874f2196755a07a81dbeb9ebef6bd3c9a8b8989d8728fbd19e9,ransomware,known
80397fc851027436c21f2d469d8da2700ec838e36255e8b7af4c24dd8b57a51d,ransomware,known
d1b9b93aba38f656512d8d78e194771051289ae2a9d3d177baf6458ac556352d,ransomware,known
993ac28d953e6a75b4f26ff0d7919cf0b851dd2a6497f45050db813df14753ea,ransomware,known
31d5dc8205a8e04f7b29b8ef288813ee8538d5456c01e20e21c1d411f5978836,ransomware,known
51bc88e3869e412a30adfc6387b20d635f43c857f72be78972437332d6a4fccd,ransomware,known
7d0aa018f7d66d159929489e343ad79d352e92cf60225bb2dedf4670b8d08eb2,ransomware,known
9f6dfe08618f87fda07e113f868775b1376ecfe178e26e4b4348cbcb5eb98c84,ransomware,known
0f7a371ad5b97fae13b62f8887343da08c4a1ff567070aed0900ca691400dd0a,ransomware,known
7fcf3e4f859cba682ec3f457e96e9ff5768c2422c15f338033c8b062f1d1d82b,ransomware,known
9e6a03dfa9cea499f553e7886dcd822fed1e09154c55d4ea1cf96965692e25eb,ransomware,known
d9e28feb5a21a5be9f8df2c4c38cbf6546dc5e61ab4ea333094e6f161e0ed7d7,ransomware,known
56f8d86e9a99189c0ff0387239ff0ea038280630ec7246c1c07669b93284e47b,ransomware,known
75a5b7ea94494e50dcd83381ebe58fb57c1b1e36ed3c0a3f0b4734f9ced2da87,ransomware,known
